Episode,Time,UE x,UE y,UE SINR,BS TX Power,Beam Index,Action,Cumul. Reward,Done,Abort,Loss,Q
18.0,1.0,131.75848735583654,-111.63762002245322,20.1,20.62,0.0,1.0,17.0,0.0,0.0,11.206888516743978,9.380663640797138
18.0,2.0,131.94439876957014,-111.84401149531664,3.13,16.38,1.0,1.0,19.0,0.0,0.0,11.206888516743978,9.380663640797138
18.0,3.0,131.66662499217895,-111.84550227396741,-9.44,13.01,2.0,1.0,14.0,0.0,1.0,11.206888516743978,9.380663640797138
19.0,1.0,67.00371701943291,-108.79561310496187,19.24,15.91,0.0,1.0,17.0,0.0,0.0,9.103819211324057,10.583589966098467
19.0,2.0,67.02005384164785,-109.07291006143107,10.86,12.64,1.0,1.0,19.0,0.0,0.0,9.103819211324057,10.583589966098467
19.0,3.0,67.29505951851684,-109.0337645442293,-17.32,10.04,2.0,1.0,14.0,0.0,1.0,9.103819211324057,10.583589966098467
20.0,1.0,7.587297877313639,66.21607616611217,17.72,21.17,2.0,3.0,0.0,0.0,0.0,6.505218267440796,12.071916032582521
20.0,2.0,7.640209425683761,65.94338428527185,23.39,16.82,3.0,1.0,17.0,0.0,0.0,6.505218267440796,12.071916032582521
20.0,3.0,7.3662273295434275,65.98914786054422,11.44,13.36,0.0,1.0,19.0,0.0,0.0,6.505218267440796,12.071916032582521
20.0,4.0,7.088619405066564,65.998860434601,-139.78,10.61,1.0,1.0,14.0,0.0,1.0,6.505218267440796,12.071916032582521
21.0,1.0,-141.06058770978223,94.57228539915245,-35.65,2.46,3.0,2.0,-5.0,0.0,1.0,7.744595527648926,13.728596612811089
22.0,1.0,-79.0624959869695,-107.5408959850309,10.05,32.66,2.0,0.0,2.0,0.0,0.0,4.429758882522583,14.702369803190232
22.0,2.0,-79.304238161266,-107.40407049400835,21.21,25.94,3.0,1.0,19.0,0.0,0.0,4.429758882522583,14.702369803190232
22.0,3.0,-79.53776171597843,-107.25364694790724,10.55,20.6,0.0,1.0,21.0,0.0,0.0,4.429758882522583,14.702369803190232
22.0,4.0,-79.67743263894369,-107.49375635443934,24.73,16.36,1.0,1.0,38.0,0.0,0.0,4.429758882522583,14.702369803190232
22.0,5.0,-79.75201333128376,-107.76133478061985,-7.4,13.0,2.0,1.0,33.0,0.0,1.0,4.429758882522583,14.702369803190232
23.0,1.0,135.46618261315655,-74.19134773871019,7.22,30.57,0.0,1.0,2.0,0.0,0.0,4.1466437975565595,16.493937715888023
